education,income,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,accepted_cmp3,accepted_cmp4,accepted_cmp5,accepted_cmp1,accepted_cmp2,response,age,total_days_active,total_mnt_spent,total_cmp_accepted,have_kids_or_teen,total_days_active_bins,total_mnt_spent_bins,marital_status_Married,marital_status_Used_to_marry
2,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1,63,2666,1617,0,0,3,9,0.0,0.0
2,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,66,2136,27,0,1,0,0,0.0,0.0
2,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,55,2347,776,0,0,1,6,1.0,0.0
2,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,36,2174,53,0,1,0,1,1.0,0.0
5,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,39,2128,422,0,1,0,5,1.0,0.0
4,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,53,2338,716,0,1,1,6,1.0,0.0
2,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,49,2620,590,0,1,3,5,0.0,1.0
5,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,35,2446,169,0,1,2,3,1.0,0.0
5,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,46,2430,46,0,1,2,1,1.0,0.0
5,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,70,2101,49,1,1,0,1,1.0,0.0
2,30994.619131531843,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,37,2276,19,0,1,1,0,1.0,0.0
1,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,44,2595,61,0,0,3,2,1.0,0.0
2,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,61,2205,1102,0,0,1,7,0.0,1.0
4,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,68,2234,310,0,1,1,4,0.0,1.0
2,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,33,2650,46,0,0,3,1,1.0,0.0
5,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,74,2620,1315,2,0,3,8,0.0,0.0
2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,40,2562,96,0,1,3,3,1.0,0.0
2,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,74,2708,317,0,0,3,4,1.0,0.0
4,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,71,2428,1782,1,1,2,9,1.0,0.0
3,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,35,2578,133,0,1,3,3,0.0,0.0
2,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,38,2710,316,0,0,3,4,1.0,0.0
2,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,41,2558,1730,0,1,3,9,1.0,0.0
5,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,71,2551,972,1,1,3,7,1.0,0.0
5,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,66,2230,544,0,1,1,5,1.0,0.0
2,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,69,2460,444,0,1,2,5,1.0,0.0
2,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,51,2515,75,0,0,2,2,0.0,0.0
2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,44,2455,257,0,1,2,4,1.0,0.0
2,83612.26906314264,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,34,2536,637,0,1,2,6,0.0,0.0
2,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,31,2429,131,0,1,2,3,1.0,0.0
5,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,55,2184,1672,1,0,0,9,1.0,0.0
4,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,31,2065,30,0,0,0,0,0.0,1.0
4,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,57,2419,318,0,0,2,4,1.0,0.0
2,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,50,2657,120,1,1,3,3,1.0,0.0
5,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,68,2661,302,0,1,3,4,0.0,1.0
4,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,74,2551,1196,0,0,3,8,1.0,0.0
4,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,69,2310,65,0,1,1,2,0.0,0.0
5,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,50,2204,913,0,1,1,6,1.0,0.0
3,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,44,2285,81,0,1,1,2,1.0,0.0
2,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,47,2100,67,0,1,0,2,0.0,1.0
5,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,1,77,2521,902,1,0,2,6,0.0,1.0
2,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,40,2484,1395,0,1,2,8,1.0,0.0
4,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,35,2447,53,0,1,2,1,1.0,0.0
2,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,63,2609,22,0,1,3,0,1.0,0.0
5,46893.786291069475,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,61,2217,186,0,0,1,3,0.0,0.0
4,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,45,2312,31,0,1,1,0,1.0,0.0
2,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,44,1990,984,0,0,0,7,0.0,0.0
3,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,24,2634,122,0,0,3,3,1.0,0.0
